ITEM: TIMESTEP
15800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 101.335 
2 -134.132 
3 -23.2429 
4 -85.8865 
5 156.421 
6 35.6214 
7 -82.7651 
8 156.436 
9 34.9277 
10 37.3407 
11 -83.4586 
12 155.033 
13 129.715 
14 11.1419 
15 -110.295 
16 -153.704 
17 -39.6356 
18 74.7041 
19 154.448 
20 41.1141 
21 -83.9205 
22 162.746 
23 32.699 
24 -80.6347 
25 -149.986 
26 93.1997 
27 -35.4894 
28 168.908 
29 50.1135 
30 -66.3316 
31 168.226 
32 51.781 
33 -72.9794 
34 -68.9284 
35 174.626 
36 49.8661 
37 85.4936 
38 -35.8613 
39 -150.294 
40 -140.323 
41 -25.4725 
42 91.8534 
43 111.197 
44 113.448 
45 -3.2991 
46 -132.557 
47 -123.354 
48 119.899 
49 -9.35919 
50 -2.79806 
51 -119.545 
52 -148.819 
53 94.5838 
54 -26.2363 
55 140.455 
56 8.85985 
57 -101.048 
58 -89.1646 
59 38.8101 
60 151.987 
61 -86.9874 
62 147.792 
63 30.7139 
64 -85.3429 
65 157.579 
66 39.8773 
67 27.9451 
68 -89.1335 
69 153.165 
70 152.844 
71 30.2839 
72 -87.0164 
73 124.314 
74 -112.864 
75 8.16533 
76 54.3493 
77 -73.1577 
78 169.643 
79 49.1729 
80 -68.0264 
81 176.68 
82 163.985 
83 46.7861 
84 -68.5075 
85 73.7734 
86 -44.5702 
87 -164.217 
88 -161.022 
89 -44.9039 
90 -168.42 
91 73.4493 
92 -47.8074 
93 -156.023 
94 82.7208 
95 -37.8921 
96 -41.9012 
97 -163.158 
98 76.2291 
99 -144.677 
100 -26.5576 
101 94.5267 
102 -143.241 
103 -25.2397 
104 100.853 
105 149.497 
106 22.9342 
107 -91.5631 
108 143.121 
109 28.6235 
110 -90.3167 
111 -102.355 
112 143.148 
113 24.2077 
114 -150.897 
115 87.3568 
116 -30.1693 
ITEM: TIMESTEP
16350
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 83.3586 
2 -157.048 
3 -36.8087 
4 -81.8789 
5 158.659 
6 38.8274 
7 -76.4417 
8 163.727 
9 43.0202 
10 39.5391 
11 -80.2927 
12 159.001 
13 119.626 
14 -0.842037 
15 -125.909 
16 -158.002 
17 -45.8976 
18 76.0892 
19 163.082 
20 45.0181 
21 -75.573 
22 166.364 
23 40.5156 
24 -77.5479 
25 -138.147 
26 97.0822 
27 -14.5697 
28 171.615 
29 41.5365 
30 -77.3061 
31 164.964 
32 46.1216 
33 -64.9578 
34 -77.5395 
35 163.618 
36 52.5385 
37 62.545 
38 -60.454 
39 178.97 
40 -166.841 
41 -43.8296 
42 78.4139 
43 129.465 
44 137.998 
45 16.3792 
46 -108.848 
47 -105.782 
48 132.599 
49 7.37163 
50 16.3106 
51 -105.308 
52 -168.175 
53 70.3197 
54 -47.3245 
55 142.6 
56 21.5122 
57 -107.286 
58 -105.974 
59 11.8608 
60 134.348 
61 -93.5561 
62 148.132 
63 26.4089 
64 -95.5667 
65 142.711 
66 22.7455 
67 25.9003 
68 -95.8225 
69 144.213 
70 156.755 
71 41.062 
72 -83.925 
73 134.52 
74 -96.1916 
75 19.3742 
76 52.5856 
77 -81.1288 
78 172.7 
79 36.4268 
80 -69.744 
81 170.141 
82 154.124 
83 47.9533 
84 -72.1614 
85 66.6725 
86 -54.9621 
87 -173.227 
88 -147.745 
89 -28.7123 
90 -147.935 
91 90.0259 
92 -30.1485 
93 -145.473 
94 94.3527 
95 -23.4342 
96 -20.8137 
97 -140.988 
98 101.225 
99 -151.831 
100 -29.7197 
101 88.9998 
102 -149.227 
103 -18.8369 
104 94.4623 
105 161.559 
106 33.9422 
107 -78.2533 
108 155.1 
109 42.9047 
110 -77.2833 
111 -83.5717 
112 164.233 
113 44.0448 
114 -161.561 
115 72.5785 
116 -45.3352 
ITEM: TIMESTEP
16400
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 108.457 
2 -138.783 
3 -18.804 
4 -91.7343 
5 150.627 
6 33.5166 
7 -82.3915 
8 160.498 
9 35.247 
10 37.8073 
11 -79.3032 
12 155.446 
13 108.069 
14 -20.2176 
